,adult_families_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,date_of_census,families_with_children_in_shelter,individuals_in_adult_families_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,total_individuals_in_shelter,total_single_adults_in_shelter,individuals_in_shelter
0,1796,14607,21314,2013-08-21T00:00:00.000,10261,3811.0,7231,2710,28359,21314,35921,49673,9941,
1,1803,14622,21324,2013-08-22T00:00:00.000,10274,3827.0,7201,2716,28366,21324,35946,49690,9917,
2,1802,14611,21291,2013-08-23T00:00:00.000,10266,3826.0,7149,2671,28257,21291,35902,49548,9820,
3,1801,14650,21343,2013-08-24T00:00:00.000,10291,3824.0,7110,2690,28274,21343,35993,49617,9800,
4,1804,14694,21400,2013-08-25T00:00:00.000,10324,3830.0,7230,2704,28458,21400,36094,49858,9934,
5,1809,14688,21392,2013-08-26T00:00:00.000,10307,3841.0,7252,2704,28485,21392,36080,49877,9956,
6,1813,14640,21322,2013-08-27T00:00:00.000,10277,3852.0,7209,2713,28414,21322,35962,49736,9922,
7,1803,14647,21325,2013-08-28T00:00:00.000,10284,3831.0,7229,2721,28428,21325,35972,49753,9950,
8,1807,14696,21412,2013-08-29T00:00:00.000,10316,3840.0,7151,2709,28396,21412,36108,49808,9860,
9,1811,14651,21343,2013-08-30T00:00:00.000,10281,3846.0,7032,2653,28182,21343,35994,49525,9685,
10,1815,14662,21335,2013-08-31T00:00:00.000,10287,3855.0,6949,2661,28127,21335,35997,49462,9610,
11,1822,14719,21403,2013-09-01T00:00:00.000,10326,3871.0,6997,2672,28259,21403,36122,49662,9669,
12,1823,14704,21404,2013-09-02T00:00:00.000,10319,3872.0,7094,2707,28377,21404,36108,49781,9801,
13,1811,14683,21372,2013-09-04T00:00:00.000,10303,3845.0,7110,2741,28379,21372,36055,49751,9851,
14,1811,14681,21410,2013-09-06T00:00:00.000,10306,3845.0,7088,2723,28337,21410,36091,49747,9811,
15,1821,14757,21502,2013-09-07T00:00:00.000,10354,3866.0,7056,2731,28410,21502,36259,49912,9787,
16,1824,14785,21555,2013-09-08T00:00:00.000,10377,3873.0,7156,2588,28402,21555,36340,49957,9744,
17,1823,14798,21566,2013-09-09T00:00:00.000,10384,3870.0,7145,2744,28557,21566,36364,50123,9889,
18,1826,14805,21577,2013-09-10T00:00:00.000,10394,3877.0,7147,2743,28572,21577,36382,50149,9890,
19,1829,14804,21571,2013-09-11T00:00:00.000,10387,3881.0,7166,2729,28580,21571,36375,50151,9895,
20,1824,14842,21653,2013-09-12T00:00:00.000,10423,3871.0,7124,2750,28587,21653,36495,50240,9874,
21,1825,14835,21662,2013-09-13T00:00:00.000,10417,3872.0,7106,2743,28556,21662,36497,50218,9849,
22,1816,14853,21694,2013-09-14T00:00:00.000,10428,3853.0,7098,2752,28556,21694,36547,50250,9850,
23,1819,14918,21767,2013-09-15T00:00:00.000,10471,3860.0,7222,2773,28773,21767,36685,50540,9995,
24,1836,14911,21725,2013-09-16T00:00:00.000,10455,3895.0,7222,2773,28801,21725,36636,50526,9995,
25,1819,14878,21697,2013-09-17T00:00:00.000,10439,3862.0,7221,2794,28755,21697,36575,50452,10015,
26,1816,14871,21663,2013-09-18T00:00:00.000,10435,3856.0,7277,2783,28787,21663,36534,50450,10060,
27,1824,14893,21695,2013-09-19T00:00:00.000,10455,3871.0,7172,2783,28719,21695,36588,50414,9955,
28,1817,14883,21705,2013-09-20T00:00:00.000,10453,3854.0,7185,2751,28673,21705,36588,50378,9936,
29,1816,14840,21663,2013-09-21T00:00:00.000,10426,3852.0,7189,2738,28619,21663,36503,50282,9927,
30,1822,14883,21710,2013-09-22T00:00:00.000,10457,3864.0,7227,2777,28751,21710,36593,50461,10004,
31,1830,14912,21734,2013-09-23T00:00:00.000,10465,3881.0,7280,2801,28874,21734,36646,50608,10081,
32,1828,14882,21675,2013-09-24T00:00:00.000,10440,3881.0,7305,2782,28850,21675,36557,50525,10087,
33,1832,14894,21721,2013-09-25T00:00:00.000,10453,3887.0,7295,2787,28863,21721,36615,50584,10082,
34,1836,14934,21804,2013-09-26T00:00:00.000,10483,3896.0,7287,2771,28888,21804,36738,50692,10058,
35,1838,14905,21757,2013-09-27T00:00:00.000,10465,3900.0,7185,2739,28729,21757,36662,50486,9924,
36,1829,14910,21746,2013-09-28T00:00:00.000,10462,3882.0,7178,2718,28688,21746,36656,50434,9896,
37,1837,14927,21780,2013-09-29T00:00:00.000,10480,3900.0,7264,2724,28815,21780,36707,50595,9988,
38,1843,14931,21786,2013-09-30T00:00:00.000,10471,3912.0,7275,2742,28860,21786,36717,50646,10017,
39,1838,14869,21734,2013-10-01T00:00:00.000,10438,3899.0,7129,2684,28581,21734,36603,50315,9813,
40,1845,14916,21768,2013-10-02T00:00:00.000,10469,3913.0,7073,2681,28583,21768,36684,50351,9754,
41,1842,14944,21818,2013-10-04T00:00:00.000,10488,3906.0,6999,2672,28521,21818,36762,50339,9671,
42,1839,14928,21817,2013-10-05T00:00:00.000,10483,3901.0,7012,2666,28507,21817,36745,50324,9678,
43,1847,14998,21890,2013-10-06T00:00:00.000,10531,3916.0,7092,2685,28691,21890,36888,50581,9777,
44,1849,14989,21870,2013-10-07T00:00:00.000,10517,3919.0,7133,2726,28767,21870,36859,50637,9859,
45,1846,14972,21830,2013-10-08T00:00:00.000,10494,3913.0,7165,2722,28772,21830,36802,50602,9887,
46,1850,14994,21853,2013-10-09T00:00:00.000,10512,3919.0,7192,2728,28833,21853,36847,50686,9920,
47,1852,15030,21894,2013-10-10T00:00:00.000,10536,3926.0,7161,2717,28834,21894,36924,50728,9878,
48,1851,15037,21883,2013-10-11T00:00:00.000,10534,3925.0,7091,2738,28791,21883,36920,50674,9829,
49,1861,15006,21857,2013-10-12T00:00:00.000,10520,3944.0,7081,2705,28736,21857,36863,50593,9786,
50,1869,15051,21944,2013-10-13T00:00:00.000,10556,3961.0,7168,2741,28921,21944,36995,50865,9909,
51,1869,15053,21948,2013-10-14T00:00:00.000,10558,3962.0,7248,2751,29014,21948,37001,50962,9999,
52,1861,15044,21894,2013-10-15T00:00:00.000,10542,3945.0,7251,2758,28998,21894,36938,50892,10009,
53,1856,15006,21848,2013-10-16T00:00:00.000,10513,3932.0,7234,2752,28924,21848,36854,50772,9986,
54,1849,15004,21848,2013-10-17T00:00:00.000,10510,3920.0,7216,2774,28914,21848,36852,50762,9990,
55,1859,15015,21876,2013-10-18T00:00:00.000,10519,3942.0,7156,2743,28856,21876,36891,50732,9899,
56,1858,15024,21898,2013-10-19T00:00:00.000,10534,3940.0,7205,2749,28918,21898,36922,50816,9954,
57,1863,15070,21965,2013-10-20T00:00:00.000,10568,3951.0,7297,2776,29094,21965,37035,51059,10073,
58,1856,15078,21974,2013-10-21T00:00:00.000,10573,3937.0,7296,2777,29088,21974,37052,51062,10073,
59,1842,15042,21936,2013-10-22T00:00:00.000,10549,3910.0,7319,2787,29058,21936,36978,50994,10106,
60,1849,15042,21927,2013-10-23T00:00:00.000,10554,3924.0,7358,2801,29125,21927,36969,51052,10159,
61,1858,15087,21973,2013-10-24T00:00:00.000,10587,3944.0,7356,2793,29180,21973,37060,51153,10149,
62,1855,15064,21976,2013-10-25T00:00:00.000,10574,3938.0,7275,2759,29036,21976,37040,51012,10034,
63,1860,15076,21997,2013-10-26T00:00:00.000,10592,3948.0,7264,2770,29058,21997,37073,51055,10034,
64,1863,15114,22051,2013-10-27T00:00:00.000,10623,3954.0,7350,2793,29211,22051,37165,51262,10143,
65,1870,15113,22056,2013-10-28T00:00:00.000,10613,3968.0,7352,2774,29207,22056,37169,51263,10126,
66,1866,15100,22035,2013-10-29T00:00:00.000,10598,3958.0,7342,2787,29187,22035,37135,51222,10129,
67,1869,15087,22035,2013-10-30T00:00:00.000,10589,3964.0,7282,2795,29128,22035,37122,51163,10077,
68,1872,15072,22024,2013-10-31T00:00:00.000,10582,3970.0,7222,2773,29037,22024,37096,51061,9995,
69,1864,15057,21990,2013-11-01T00:00:00.000,10570,3950.0,7043,2693,28743,21990,37047,50733,9736,
70,1857,15022,21964,2013-11-02T00:00:00.000,10548,3937.0,7031,2704,28694,21964,36986,50658,9735,
71,1854,15052,22010,2013-11-03T00:00:00.000,10571,3930.0,7164,2725,28871,22010,37062,50881,9889,
72,1858,15037,21982,2013-11-04T00:00:00.000,10555,3939.0,7232,2722,28930,21982,37019,50912,9954,
73,1863,15026,21976,2013-11-05T00:00:00.000,10551,3950.0,7278,2711,28965,21976,37002,50941,9989,
74,1875,15024,21990,2013-11-06T00:00:00.000,10547,3976.0,7271,2724,28995,21990,37014,50985,9995,
75,1872,15047,22028,2013-11-07T00:00:00.000,10562,3970.0,7269,2714,29000,22028,37075,51028,9983,
76,1876,15052,22034,2013-11-08T00:00:00.000,10559,3979.0,7200,2695,28926,22034,37086,50960,9895,
77,1873,15052,22060,2013-11-09T00:00:00.000,10564,3972.0,7152,2682,28858,22060,37112,50918,9834,
78,1879,15066,22074,2013-11-10T00:00:00.000,10581,3985.0,7254,2687,28992,22074,37140,51066,9941,
79,1879,15079,22096,2013-11-11T00:00:00.000,10585,3986.0,7306,2699,29070,22096,37175,51166,10005,
80,1879,15038,22047,2013-11-13T00:00:00.000,10561,3987.0,7318,2720,29063,22047,37085,51110,10038,
81,1879,15080,22108,2013-11-14T00:00:00.000,10587,3986.0,7308,2703,29077,22108,37188,51185,10011,
82,1882,15158,22224,2013-11-18T00:00:00.000,10632,3989.0,7283,2722,29152,22224,37382,51376,10005,
83,1879,15148,22206,2013-11-20T00:00:00.000,10622,3982.0,7309,2732,29171,22206,37354,51377,10041,
84,1885,15158,22211,2013-11-21T00:00:00.000,10633,3994.0,7277,2740,29169,22211,37369,51380,10017,
85,1882,15139,22189,2013-11-22T00:00:00.000,10623,3988.0,7203,2695,29025,22189,37328,51214,9898,
86,1882,15106,22175,2013-11-23T00:00:00.000,10612,3989.0,7218,2710,29023,22175,37281,51198,9928,
87,1882,15144,22237,2013-11-24T00:00:00.000,10638,3989.0,7323,2729,29185,22237,37381,51422,10052,
88,1882,15169,22252,2013-11-25T00:00:00.000,10648,3993.0,7347,2728,29237,22252,37421,51489,10075,
89,1875,15112,22168,2013-11-26T00:00:00.000,10614,3979.0,7375,2712,29178,22168,37280,51346,10087,
90,1882,15111,22164,2013-11-27T00:00:00.000,10616,3989.0,7325,2694,29119,22164,37275,51283,10019,
91,1878,15094,22174,2013-11-28T00:00:00.000,10606,3981.0,7166,2661,28902,22174,37268,51076,9827,
92,1873,15074,22135,2013-11-29T00:00:00.000,10597,3973.0,7159,2635,28841,22135,37209,50976,9794,
93,1885,15082,22151,2013-12-01T00:00:00.000,10599,3999.0,7300,2686,29067,22151,37233,51218,9986,
94,1874,15026,22091,2013-12-02T00:00:00.000,10559,3974.0,7305,2697,29002,22091,37117,51093,10002,
95,1868,14986,22003,2013-12-03T00:00:00.000,10526,3963.0,7292,2685,28926,22003,36989,50929,9977,
96,1868,14977,22022,2013-12-04T00:00:00.000,10524,3964.0,7251,2695,28887,22022,36999,50909,9946,
97,1872,15009,22063,2013-12-05T00:00:00.000,10551,3971.0,7246,2682,28908,22063,37072,50971,9928,
